dataset,fold,pearson,rho_assay,rmse
kinodata,1,0.6063557647308334,0.32411279056372083,1.0823457363880138
kinodata,2,0.5998529446095877,0.32493419669823687,1.061546321207535
kinodata,3,0.5445499181952923,0.2857962258443209,1.0775198282849672
kinodata,4,0.5985283516706525,0.3240996859949237,1.0532788118202685
kinodata,5,0.6278497897314501,0.3520049691596656,1.0275938234659678
