Train loss,epoch,step,Validation loss
0.9413737058639526,0,49,
0.87481689453125,0,99,
0.8377488255500793,0,149,
0.8096134662628174,0,199,
0.8773337602615356,0,249,
0.9311854839324951,0,299,
,0,334,0.8553865551948547
0.8672068119049072,1,349,
0.8268226385116577,1,399,
0.9251571893692017,1,449,
0.8315905332565308,1,499,
0.798475980758667,1,549,
0.8559179902076721,1,599,
0.8162062764167786,1,649,
0.7687153816223145,2,699,
0.8214247822761536,2,749,
0.8609281778335571,2,799,
0.8060342073440552,2,849,
0.9253608584403992,2,899,
0.8013571500778198,2,949,
0.9340646862983704,2,999,
,2,1003,0.8513289093971252
0.8407891988754272,3,1049,
0.8831307888031006,3,1099,
0.7324190139770508,3,1149,
0.782895565032959,3,1199,
0.8040381669998169,3,1249,
0.8242068886756897,3,1299,
,3,1338,0.853376567363739
0.8381001353263855,4,1349,
0.8362816572189331,4,1399,
0.827988862991333,4,1449,
0.8178917169570923,4,1499,
0.8105190992355347,4,1549,
0.8324463367462158,4,1599,
0.8845126628875732,4,1649,
0.837638795375824,5,1699,
0.8126466870307922,5,1749,
0.875896692276001,5,1799,
0.8296859264373779,5,1849,
0.7710676193237305,5,1899,
0.8217414617538452,5,1949,
0.8237479329109192,5,1999,
,5,2007,0.8489062786102295
0.8782824873924255,6,2049,
0.754164457321167,6,2099,
0.7816869020462036,6,2149,
0.885138213634491,6,2199,
0.726019024848938,6,2249,
0.7509221434593201,6,2299,
,6,2342,0.8423754572868347
0.7256419658660889,7,2349,
0.7790879607200623,7,2399,
0.7503656148910522,7,2449,
0.7234714031219482,7,2499,
0.8148753643035889,7,2549,
0.734451174736023,7,2599,
0.8621581792831421,7,2649,
,7,2677,0.8425194621086121
0.8255101442337036,8,2699,
0.7445517182350159,8,2749,
0.8280677199363708,8,2799,
0.7345632314682007,8,2849,
0.7838069200515747,8,2899,
0.7890902757644653,8,2949,
0.7815019488334656,8,2999,
,8,3012,0.8360247611999512
0.7847610712051392,9,3049,
0.7871978878974915,9,3099,
0.6931110620498657,9,3149,
0.7314754724502563,9,3199,
0.70032799243927,9,3249,
0.8054698705673218,9,3299,
,9,3347,0.8491447567939758
0.692533552646637,10,3349,
0.7704129219055176,10,3399,
0.7289668321609497,10,3449,
0.7986844778060913,10,3499,
0.7838010787963867,10,3549,
0.6912530660629272,10,3599,
0.7322207689285278,10,3649,
,10,3682,0.8354886770248413
0.708697497844696,11,3699,
0.7673065066337585,11,3749,
0.8300670385360718,11,3799,
0.8282510042190552,11,3849,
0.780982494354248,11,3899,
0.8668457865715027,11,3949,
0.8756387233734131,11,3999,
,11,4017,0.8341898322105408
