Train loss,epoch,step,Validation loss
0.9338313937187195,0,49,
1.0460318326950073,0,99,
0.8752700090408325,0,149,
0.7932431697845459,0,199,
0.8461360335350037,0,249,
0.9289962649345398,0,299,
,0,334,0.8565298318862915
0.8148082494735718,1,349,
0.8203802704811096,1,399,
0.9637452363967896,1,449,
0.8310534954071045,1,499,
0.8598453998565674,1,549,
0.8126830458641052,1,599,
0.85023033618927,1,649,
0.745637834072113,2,699,
0.8265846967697144,2,749,
0.8997927904129028,2,799,
0.8836945295333862,2,849,
0.9392720460891724,2,899,
0.869929313659668,2,949,
0.924717903137207,2,999,
,2,1003,0.8449427485466003
0.762850284576416,3,1049,
0.7477456331253052,3,1099,
0.777402400970459,3,1149,
0.7721685171127319,3,1199,
0.7838597893714905,3,1249,
0.8943127393722534,3,1299,
,3,1338,0.8424870371818542
0.828774094581604,4,1349,
0.8071264028549194,4,1399,
0.7669277787208557,4,1449,
0.8816682696342468,4,1499,
0.8254834413528442,4,1549,
0.8188153505325317,4,1599,
0.8405062556266785,4,1649,
0.8541999459266663,5,1699,
0.8393092751502991,5,1749,
0.8415903449058533,5,1799,
0.8033480644226074,5,1849,
0.8683269023895264,5,1899,
0.8967082500457764,5,1949,
0.8584803342819214,5,1999,
,5,2007,0.855703592300415
0.8915839195251465,6,2049,
0.7997088432312012,6,2099,
0.7917474508285522,6,2149,
0.8699260354042053,6,2199,
0.7272878885269165,6,2249,
0.7871391773223877,6,2299,
,6,2342,0.8529559373855591
0.7701966762542725,7,2349,
0.8137423396110535,7,2399,
0.8061434030532837,7,2449,
0.7196013927459717,7,2499,
0.8028564453125,7,2549,
0.8396989107131958,7,2599,
0.8867860436439514,7,2649,
,7,2677,0.8531760573387146
0.8418599963188171,8,2699,
0.8426237106323242,8,2749,
0.7291968464851379,8,2799,
0.7298560738563538,8,2849,
0.7679964303970337,8,2899,
0.7803595066070557,8,2949,
0.830141007900238,8,2999,
,8,3012,0.8507393002510071
0.8392353653907776,9,3049,
0.8191454410552979,9,3099,
0.6331812143325806,9,3149,
0.7505453824996948,9,3199,
0.7096000909805298,9,3249,
0.8277423977851868,9,3299,
,9,3347,0.8520702719688416
0.741228461265564,10,3349,
0.746186375617981,10,3399,
0.8080124855041504,10,3449,
0.8271723389625549,10,3499,
0.7487642765045166,10,3549,
0.6625282764434814,10,3599,
0.7842890620231628,10,3649,
,10,3682,0.8421679139137268
0.7842149138450623,11,3699,
0.7817569971084595,11,3749,
0.8054048418998718,11,3799,
0.8624195456504822,11,3849,
0.8108623623847961,11,3899,
0.804006040096283,11,3949,
0.7843090295791626,11,3999,
,11,4017,0.8348533511161804
0.8982579112052917,12,4049,
0.766198456287384,12,4099,
0.816561222076416,12,4149,
0.7348971962928772,12,4199,
0.9053316116333008,12,4249,
0.855571985244751,12,4299,
0.8336429595947266,12,4349,
,12,4352,0.8388808965682983
0.8668095469474792,13,4399,
0.7417622804641724,13,4449,
0.7328293323516846,13,4499,
0.7024990320205688,13,4549,
0.7961620092391968,13,4599,
0.6560547947883606,13,4649,
,13,4687,0.8284571170806885
0.8007263541221619,14,4699,
0.6971945762634277,14,4749,
0.7166357040405273,14,4799,
0.754784345626831,14,4849,
0.7203949093818665,14,4899,
0.8170791864395142,14,4949,
0.741553544998169,14,4999,
,14,5022,0.8284903764724731
0.7835068702697754,15,5049,
0.7861196994781494,15,5099,
0.7555304169654846,15,5149,
0.7659585475921631,15,5199,
0.7032404541969299,15,5249,
0.6894826292991638,15,5299,
0.7552207112312317,15,5349,
