dataset,fold,pearson,rho_assay,rmse
landrum,1,0.5702157481705724,0.29215660304415386,1.1018218689089043
landrum,2,0.5529234175337403,0.2616561255676514,1.1221407031961197
landrum,3,0.5250723417819311,0.23726534035511962,1.1323142932046992
landrum,4,0.5474895562960796,0.2985154352618809,1.1154490496841687
landrum,5,0.5302589044199826,0.2576106720903007,1.1480194022566819
