dataset,split,rho_global,rho_assay_aggregated
landrum,0,0.2759885962031288,0.39865917373459314
landrum,1,0.3061292959698398,0.3836886780429083
landrum,2,0.2610382874601651,0.3930472421133942
landrum,3,0.2961087425106154,0.38073657602440036
landrum,4,0.2665859398791838,0.39670226810190085
