dataset,split,rho_global,rho_assay_aggregated
omnivore,0,0.2864998023111047,0.39840882593277854
omnivore,1,0.2698288850979251,0.38286985773388266
omnivore,2,0.26868246824439546,0.3757247918208453
omnivore,3,0.26166420401212687,0.366956757515118
omnivore,4,0.2508984940364688,0.3715806826714473
