dataset,split,rho_global,rho_assay_aggregated
omnivore,0,0.6499147082242314,0.38669905002734195
omnivore,1,0.6255721975375933,0.35069378447129507
omnivore,2,0.6223558710093572,0.3540455382928139
omnivore,3,0.6239834284396865,0.37515685737932913
omnivore,4,0.6470486559415761,0.38831310119945023
